id,bloodline,breed_type,genotype,hash_info.name,win_rate,number_of_races,parents.father.bloodline,parents.father.breed_type,parents.father.genotype,parents.father.hash_info.name,parents.father.win_rate,parents.father.number_of_races,parents.mother.bloodline,parents.mother.breed_type,parents.mother.genotype,parents.mother.hash_info.name,parents.mother.win_rate,parents.mother.number_of_races
15241,Buterin,exclusive,Z12,Valkyria,0.0,2,Buterin,genesis,Z10,Mixed Emotions,26.32,57.0,Nakamoto,legendary,Z2,Scorch,5.56,18.0
15242,Buterin,legendary,Z20,Fire Emotions,0.0,6,Buterin,genesis,Z10,Mixed Emotions,26.32,57.0,Buterin,genesis,Z10,Hang Fire,15.23,243.0
15243,Buterin,legendary,Z13,Billy Colt,34.62,26,Szabo,genesis,Z3,Forever Hold Your Peace,0.0,6.0,Buterin,genesis,Z10,Time To Moon,2.38,42.0
15244,Buterin,legendary,Z19,Kamala Khan,10.99,91,Buterin,genesis,Z9,Solid Stone,0.0,27.0,Buterin,genesis,Z10,No Name,22.22,9.0
15245,Buterin,exclusive,Z17,Ice Cream Joe,0.0,9,Finney,genesis,Z6,So LA,11.67,60.0,Buterin,legendary,Z11,Harley Quinn,12.21,385.0
15246,Szabo,exclusive,Z9,Pinkie,0.0,2,Nakamoto,legendary,Z2,Blade,18.92,74.0,Szabo,legendary,Z7,Crixus,3.85,26.0
15247,Nakamoto,exclusive,Z4,Gudetama,0.0,1,Nakamoto,legendary,Z2,Blade,18.92,74.0,Nakamoto,legendary,Z2,Midgard,6.12,49.0
15248,Finney,exclusive,Z15,Red Rover,10.67,75,Szabo,legendary,Z6,Light In The Night,20.0,40.0,Finney,legendary,Z9,The Sapphire Dragon,12.07,58.0
15249,Nakamoto,exclusive,Z3,Gemstone,0.0,7,Nakamoto,legendary,Z2,Jolene,11.34,97.0,Nakamoto,genesis,Z1,All Systems Go,4.17,96.0
15250,Szabo,legendary,Z7,Woodstock,17.07,41,Szabo,genesis,Z4,Norseback,17.36,121.0,Szabo,genesis,Z3,Automatic Creative,12.6,127.0
